anio,delito,cantidad
2004,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21468
2004,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1737
2005,Abusos sexuales con acceso carnal (violaciones),3156
2005,Amenazas,131288
2005,Contravenciones,126279
2005,Delitos contra el estado civil,85
2005,Delitos contra el honor,316
2005,Delitos contra el orden público,1371
2005,Delitos contra la administración pública,13891
2005,Delitos contra la fe pública,5428
2005,Delitos contra la seguridad de la nación,37
2005,Delitos contra la seguridad pública,5381
2005,Delitos contra los poderes públicos y el orden constitucional,120
2005,Homicidios culposos por otros hechos,895
2005,Homicidios dolosos,2120
2005,Homicidios dolosos en grado de tentativa,916
2005,Hurtos,292455
2005,Lesiones culposas en Accidentes Viales,73066
2005,Lesiones culposas por otros hechos,9532
2005,Lesiones dolosas,142135
2005,Ley 23.737 (estupefacientes),22378
2005,Muertes en accidentes viales,3443
2005,Otros delitos contra la integridad sexual,6852
2005,Otros delitos contra la libertad,13210
2005,Otros delitos contra la propiedad,80249
2005,Otros delitos contra las personas,15832
2005,Otros delitos previstos en leyes especiales,25332
2005,Robos (excluye los agravados por el resultado de lesiones y/o muertes),322267
2005,Robos agravados por el resultado de lesiones y/o muertes ,10823
2005,Suicidios (consumados),2709
2005,Tentativas de hurto,11214
2005,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),20767
2005,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1475
2006,Abusos sexuales con acceso carnal (violaciones),3272
2006,Amenazas,136351
2006,Contravenciones,145785
2006,Delitos contra el estado civil,168
2006,Delitos contra el honor,358
2006,Delitos contra el orden público,1457
2006,Delitos contra la administración pública,14740
2006,Delitos contra la fe pública,5039
2006,Delitos contra la seguridad de la nación,25
2006,Delitos contra la seguridad pública,5614
2006,Delitos contra los poderes públicos y el orden constitucional,184
2006,Homicidios culposos por otros hechos,743
2006,Homicidios dolosos,2057
2006,Homicidios dolosos en grado de tentativa,836
2006,Hurtos,280619
2006,Lesiones culposas en Accidentes Viales,83888
2006,Lesiones culposas por otros hechos,11483
2006,Lesiones dolosas,143482
2006,Ley 23.737 (estupefacientes),24552
2006,Muertes en accidentes viales,3695
2006,Otros delitos contra la integridad sexual,7353
2006,Otros delitos contra la libertad,15810
2006,Otros delitos contra la propiedad,83264
2006,Otros delitos contra las personas,17544
2006,Otros delitos previstos en leyes especiales,26042
2006,Robos (excluye los agravados por el resultado de lesiones y/o muertes),318613
2006,Robos agravados por el resultado de lesiones y/o muertes ,12605
2006,Suicidios (consumados),2746
2006,Tentativas de hurto,11422
2006,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21061
2006,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1761
2007,Abusos sexuales con acceso carnal (violaciones),3281
2007,Amenazas,133472
2007,Contravenciones,133316
2007,Delitos contra el estado civil,90
2007,Delitos contra el honor,640
2007,Delitos contra el orden público,1815
2007,Delitos contra la administración pública,13258
2007,Delitos contra la fe pública,4249
2007,Delitos contra la seguridad de la nación,112
2007,Delitos contra la seguridad pública,5421
2007,Delitos contra los poderes públicos y el orden constitucional,767
2007,Homicidios culposos por otros hechos,681
2007,Homicidios dolosos,2071
2007,Homicidios dolosos en grado de tentativa,780
2007,Hurtos,248510
2007,Lesiones culposas en Accidentes Viales,97056
2007,Lesiones culposas por otros hechos,10355
2007,Lesiones dolosas,139142
2007,Ley 23.737 (estupefacientes),23638
2007,Muertes en accidentes viales,3786
2007,Otros delitos contra la integridad sexual,7283
2007,Otros delitos contra la libertad,25395
2007,Otros delitos contra la propiedad,79509
2007,Otros delitos contra las personas,22601
2007,Otros delitos previstos en leyes especiales,23066
2007,Robos (excluye los agravados por el resultado de lesiones y/o muertes),331723
2007,Robos agravados por el resultado de lesiones y/o muertes ,12797
2007,Suicidios (consumados),2768
2007,Tentativas de hurto,16287
2007,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21846
2007,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1315
2008,Abusos sexuales con acceso carnal (violaciones),3368
2008,Amenazas,142714
2008,Contravenciones,115342
2008,Delitos contra el estado civil,124
2008,Delitos contra el honor,247
2008,Delitos contra el orden público,2126
2008,Delitos contra la administración pública,16101
2008,Delitos contra la fe pública,3567
2008,Delitos contra la seguridad de la nación,36
2008,Delitos contra la seguridad pública,5992
2008,Delitos contra los poderes públicos y el orden constitucional,144
2008,Homicidios culposos por otros hechos,617
2008,Homicidios dolosos,2305
2008,Homicidios dolosos en grado de tentativa,993
2008,Hurtos,272825
2008,Lesiones culposas en Accidentes Viales,105615
2008,Lesiones culposas por otros hechos,9801
2008,Lesiones dolosas,146338
