anio,delito,cantidad
2006,Delito 10,3272.0
2007,Delito 10,3281.0
2008,Delito 10,3368.0
2009,Delito 10,4386.0
2010,Delito 10,4278.0
2011,Delito 10,4224.0
2012,Delito 10,4314.0
2013,Delito 10,4279.0
2014,Delito 10,3748.0
2015,Delito 10,3418.0
2016,Delito 10,3677.0
2017,Delito 10,3755.0
2018,Delito 10,4204.0
2019,Delito 10,5544.0
2020,Delito 10,5710.0
2021,Delito 10,6919.0
2022,Delito 10,7063.0
2023,Delito 10,6387.0
2024,Delito 10,6196.0
2000,Delito 11,5911.0
2001,Delito 11,5803.0
2002,Delito 11,5773.0
2003,Delito 11,6484.0
2004,Delito 11,6921.0
2005,Delito 11,6852.0
2006,Delito 11,7353.0
2007,Delito 11,7283.0
2008,Delito 11,6994.0
2009,Delito 11,7615.0
2010,Delito 11,8039.0
2011,Delito 11,8466.0
2012,Delito 11,8506.0
2013,Delito 11,9551.0
2014,Delito 11,9498.0
2015,Delito 11,12313.0
2016,Delito 11,8981.0
2017,Delito 11,11035.0
2018,Delito 11,12858.0
2019,Delito 11,16461.0
2020,Delito 11,21734.0
2021,Delito 11,32099.0
2022,Delito 11,32903.0
2023,Delito 11,32124.0
2024,Delito 11,27199.0
2000,Delito 12,178.0
2001,Delito 12,99.0
2002,Delito 12,219.0
2003,Delito 12,196.0
2004,Delito 12,156.0
2005,Delito 12,85.0
2006,Delito 12,168.0
2007,Delito 12,90.0
2008,Delito 12,124.0
2009,Delito 12,168.0
2010,Delito 12,119.0
2011,Delito 12,88.0
2012,Delito 12,96.0
2013,Delito 12,112.0
2014,Delito 12,212.0
2015,Delito 12,144.0
2016,Delito 12,100.0
2017,Delito 12,79.0
2018,Delito 12,178.0
2019,Delito 12,121.0
2020,Delito 12,60.0
2021,Delito 12,79.0
2022,Delito 12,160.0
2023,Delito 12,189.0
2024,Delito 12,121.0
2000,Delito 13,92826.0
2001,Delito 13,108340.0
2002,Delito 13,114247.0
2003,Delito 13,117234.0
2004,Delito 13,130448.0
2005,Delito 13,131288.0
2006,Delito 13,136351.0
2007,Delito 13,133472.0
2008,Delito 13,142714.0
2009,Delito 13,141543.0
2010,Delito 13,140877.0
2011,Delito 13,157264.0
2012,Delito 13,171952.0
2013,Delito 13,181085.0
2014,Delito 13,184844.0
2015,Delito 13,187094.0
2016,Delito 13,168109.0
2017,Delito 13,178598.0
2018,Delito 13,176661.0
2019,Delito 13,185685.0
2020,Delito 13,194471.0
2021,Delito 13,218155.0
2022,Delito 13,211707.0
2023,Delito 13,214848.0
2024,Delito 13,204599.0
2000,Delito 14,15628.0
2001,Delito 14,13729.0
2002,Delito 14,13921.0
2003,Delito 14,13267.0
2004,Delito 14,13238.0
2005,Delito 14,13210.0
2006,Delito 14,15810.0
2007,Delito 14,25395.0
2008,Delito 14,14914.0
2009,Delito 14,9576.0
2010,Delito 14,10415.0
2011,Delito 14,10910.0
2012,Delito 14,10616.0
2013,Delito 14,9586.0
2014,Delito 14,10530.0
2015,Delito 14,10604.0
2016,Delito 14,12260.0
2017,Delito 14,11623.0
2018,Delito 14,11361.0
2019,Delito 14,12699.0
2020,Delito 14,12654.0
2021,Delito 14,14009.0
2022,Delito 14,14348.0
2023,Delito 14,15230.0
2024,Delito 14,12817.0
2017,Delito 14_1,173.0
2018,Delito 14_1,172.0
2019,Delito 14_1,129.0
2020,Delito 14_1,185.0
2021,Delito 14_1,175.0
2022,Delito 14_1,332.0
2023,Delito 14_1,229.0
2024,Delito 14_1,174.0
2017,Delito 14_2,17.0
2018,Delito 14_2,23.0
2019,Delito 14_2,18.0
2020,Delito 14_2,126.0
2021,Delito 14_2,96.0
2022,Delito 14_2,83.0
2023,Delito 14_2,38.0
2024,Delito 14_2,28.0
2017,Delito 14_3,11433.0
2018,Delito 14_3,11166.0
2019,Delito 14_3,12552.0
2020,Delito 14_3,12343.0
2021,Delito 14_3,13738.0
2022,Delito 14_3,13933.0
2023,Delito 14_3,14963.0
2024,Delito 14_3,12615.0
2000,Delito 15,320649.0
2001,Delito 15,345725.0
2002,Delito 15,423478.0
2003,Delito 15,393547.0
2004,Delito 15,352554.0
2005,Delito 15,322267.0
2006,Delito 15,318613.0
2007,Delito 15,331723.0
