anio,provincia,delito,cantidad
2000,Chubut,Homicidios dolosos,26
2000,Chubut,Homicidios dolosos en grado de tentativa,2
2000,Chubut,Hurtos,1855
2000,Chubut,Lesiones culposas en Accidentes Viales,210
2000,Chubut,Lesiones culposas por otros hechos,3
2000,Chubut,Lesiones dolosas,2
2000,Chubut,Ley 23.737 (estupefacientes),49
2000,Chubut,Muertes en accidentes viales,25
2000,Chubut,Otros delitos contra la integridad sexual,62
2000,Chubut,Otros delitos contra la libertad,1380
2000,Chubut,Otros delitos contra la propiedad,1972
2000,Chubut,Otros delitos contra las personas,1933
2000,Chubut,Robos (excluye los agravados por el resultado de lesiones y/o muertes),2638
2000,Chubut,Robos agravados por el resultado de lesiones y/o muertes,0
2000,Chubut,Suicidios (consumados),73
2000,Chubut,Tentativas de hurto,59
2000,Chubut,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),100
2000,Chubut,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,Ciudad Autónoma de Buenos Aires,Abusos sexuales con acceso carnal (violaciones),197
2000,Ciudad Autónoma de Buenos Aires,Amenazas,11034
2000,Ciudad Autónoma de Buenos Aires,Contravenciones,73
2000,Ciudad Autónoma de Buenos Aires,Delitos contra el estado civil,1
2000,Ciudad Autónoma de Buenos Aires,Delitos contra el honor,0
2000,Ciudad Autónoma de Buenos Aires,Delitos contra el orden público,336
2000,Ciudad Autónoma de Buenos Aires,Delitos contra la administración pública,2130
2000,Ciudad Autónoma de Buenos Aires,Delitos contra la fe pública,1047
2000,Ciudad Autónoma de Buenos Aires,Delitos contra la seguridad de la nación,1
2000,Ciudad Autónoma de Buenos Aires,Delitos contra la seguridad pública,376
2000,Ciudad Autónoma de Buenos Aires,Delitos contra los poderes públicos y el orden constitucional,11
2000,Ciudad Autónoma de Buenos Aires,Delitos previstos en otras leyes,4554
2000,Ciudad Autónoma de Buenos Aires,Homicidios culposos por otros hechos,35
2000,Ciudad Autónoma de Buenos Aires,Homicidios dolosos,149
2000,Ciudad Autónoma de Buenos Aires,Homicidios dolosos en grado de tentativa,54
2000,Ciudad Autónoma de Buenos Aires,Hurtos,64018
2000,Ciudad Autónoma de Buenos Aires,Lesiones culposas en Accidentes Viales,7890
2000,Ciudad Autónoma de Buenos Aires,Lesiones culposas por otros hechos,1164
2000,Ciudad Autónoma de Buenos Aires,Lesiones dolosas,13154
2000,Ciudad Autónoma de Buenos Aires,Ley 23.737 (estupefacientes),7613
2000,Ciudad Autónoma de Buenos Aires,Muertes en accidentes viales,121
2000,Ciudad Autónoma de Buenos Aires,Otros delitos contra la integridad sexual,409
2000,Ciudad Autónoma de Buenos Aires,Otros delitos contra la libertad,3684
2000,Ciudad Autónoma de Buenos Aires,Otros delitos contra la propiedad,7502
2000,Ciudad Autónoma de Buenos Aires,Otros delitos contra las personas,1784
2000,Ciudad Autónoma de Buenos Aires,Robos (excluye los agravados por el resultado de lesiones y/o muertes),68937
2000,Ciudad Autónoma de Buenos Aires,Robos agravados por el resultado de lesiones y/o muertes,37
2000,Ciudad Autónoma de Buenos Aires,Suicidios (consumados),356
2000,Ciudad Autónoma de Buenos Aires,Tentativas de hurto,725
2000,Ciudad Autónoma de Buenos Aires,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),2620
2000,Ciudad Autónoma de Buenos Aires,Tentativas de robo agravado por el resultado de lesiones y/o muertes,4
2000,Corrientes,Abusos sexuales con acceso carnal (violaciones),85
2000,Corrientes,Amenazas,1836
2000,Corrientes,Contravenciones,5732
2000,Corrientes,Delitos contra el estado civil,2
2000,Corrientes,Delitos contra el honor,0
2000,Corrientes,Delitos contra el orden público,5
2000,Corrientes,Delitos contra la administración pública,146
2000,Corrientes,Delitos contra la fe pública,95
2000,Corrientes,Delitos contra la seguridad de la nación,0
2000,Corrientes,Delitos contra la seguridad pública,61
2000,Corrientes,Delitos contra los poderes públicos y el orden constitucional,4
2000,Corrientes,Delitos previstos en otras leyes,430
2000,Corrientes,Homicidios culposos por otros hechos,8
2000,Corrientes,Homicidios dolosos,46
2000,Corrientes,Homicidios dolosos en grado de tentativa,20
2000,Corrientes,Hurtos,8368
2000,Corrientes,Lesiones culposas en Accidentes Viales,503
2000,Corrientes,Lesiones culposas por otros hechos,11
2000,Corrientes,Lesiones dolosas,1922
2000,Corrientes,Ley 23.737 (estupefacientes),52
2000,Corrientes,Muertes en accidentes viales,111
2000,Corrientes,Otros delitos contra la integridad sexual,103
2000,Corrientes,Otros delitos contra la libertad,208
2000,Corrientes,Otros delitos contra la propiedad,1965
2000,Corrientes,Otros delitos contra las personas,275
2000,Corrientes,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6697
2000,Corrientes,Robos agravados por el resultado de lesiones y/o muertes,15
2000,Corrientes,Suicidios (consumados),76
2000,Corrientes,Tentativas de hurto,189
2000,Corrientes,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),356
2000,Corrientes,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,Córdoba,Abusos sexuales con acceso carnal (violaciones),244
2000,Córdoba,Amenazas,8336
2000,Córdoba,Contravenciones,14528
2000,Córdoba,Delitos contra el estado civil,40
2000,Córdoba,Delitos contra el honor,39
2000,Córdoba,Delitos contra el orden público,31
2000,Córdoba,Delitos contra la administración pública,706
2000,Córdoba,Delitos contra la fe pública,274
2000,Córdoba,Delitos contra la seguridad de la nación,2
2000,Córdoba,Delitos contra la seguridad pública,479
2000,Córdoba,Delitos contra los poderes públicos y el orden constitucional,5
2000,Córdoba,Delitos previstos en otras leyes,1364
2000,Córdoba,Homicidios culposos por otros hechos,93
2000,Córdoba,Homicidios dolosos,153
2000,Córdoba,Homicidios dolosos en grado de tentativa,24
2000,Córdoba,Hurtos,25054
2000,Córdoba,Lesiones culposas en Accidentes Viales,5849
2000,Córdoba,Lesiones culposas por otros hechos,604
2000,Córdoba,Lesiones dolosas,8285
2000,Córdoba,Ley 23.737 (estupefacientes),125
2000,Córdoba,Muertes en accidentes viales,352
2000,Córdoba,Otros delitos contra la integridad sexual,649
2000,Córdoba,Otros delitos contra la libertad,3068
2000,Córdoba,Otros delitos contra la propiedad,14205
2000,Córdoba,Otros delitos contra las personas,5041
2000,Córdoba,Robos (excluye los agravados por el resultado de lesiones y/o muertes),35597
2000,Córdoba,Robos agravados por el resultado de lesiones y/o muertes,2262
2000,Córdoba,Suicidios (consumados),229
2000,Córdoba,Tentativas de hurto,1295
2000,Córdoba,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),1830
2000,Córdoba,Tentativas de robo agravado por el resultado de lesiones y/o muertes,244
2000,Entre Ríos,Abusos sexuales con acceso carnal (violaciones),50
2000,Entre Ríos,Amenazas,2121
2000,Entre Ríos,Contravenciones,6990
2000,Entre Ríos,Delitos contra el estado civil,12
2000,Entre Ríos,Delitos contra el honor,8
2000,Entre Ríos,Delitos contra el orden público,18
2000,Entre Ríos,Delitos contra la administración pública,270
2000,Entre Ríos,Delitos contra la fe pública,149
2000,Entre Ríos,Delitos contra la seguridad de la nación,1
2000,Entre Ríos,Delitos contra la seguridad pública,196
2000,Entre Ríos,Delitos contra los poderes públicos y el orden constitucional,3
2000,Entre Ríos,Delitos previstos en otras leyes,545
2000,Entre Ríos,Homicidios culposos por otros hechos,28
2000,Entre Ríos,Homicidios dolosos,85
2000,Entre Ríos,Homicidios dolosos en grado de tentativa,23
2000,Entre Ríos,Hurtos,5251
2000,Entre Ríos,Lesiones culposas en Accidentes Viales,1190
2000,Entre Ríos,Lesiones culposas por otros hechos,56
2000,Entre Ríos,Lesiones dolosas,2655
2000,Entre Ríos,Ley 23.737 (estupefacientes),38
2000,Entre Ríos,Muertes en accidentes viales,121
2000,Entre Ríos,Otros delitos contra la integridad sexual,158
2000,Entre Ríos,Otros delitos contra la libertad,275
2000,Entre Ríos,Otros delitos contra la propiedad,2827
2000,Entre Ríos,Otros delitos contra las personas,612
2000,Entre Ríos,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4853
2000,Entre Ríos,Robos agravados por el resultado de lesiones y/o muertes,1155
2000,Entre Ríos,Suicidios (consumados),133
2000,Entre Ríos,Tentativas de hurto,195
2000,Entre Ríos,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),391
2000,Entre Ríos,Tentativas de robo agravado por el resultado de lesiones y/o muertes,3
2000,Formosa,Abusos sexuales con acceso carnal (violaciones),32
2000,Formosa,Amenazas,988
2000,Formosa,Contravenciones,1819
2000,Formosa,Delitos contra el estado civil,1
2000,Formosa,Delitos contra el honor,0
2000,Formosa,Delitos contra el orden público,47
2000,Formosa,Delitos contra la administración pública,280
2000,Formosa,Delitos contra la fe pública,158
2000,Formosa,Delitos contra la seguridad de la nación,0
2000,Formosa,Delitos contra la seguridad pública,103
2000,Formosa,Delitos contra los poderes públicos y el orden constitucional,1
2000,Formosa,Delitos previstos en otras leyes,58
2000,Formosa,Homicidios culposos por otros hechos,17
2000,Formosa,Homicidios dolosos,42
2000,Formosa,Homicidios dolosos en grado de tentativa,55
2000,Formosa,Hurtos,2975
2000,Formosa,Lesiones culposas en Accidentes Viales,346
2000,Formosa,Lesiones culposas por otros hechos,7
2000,Formosa,Lesiones dolosas,1674
2000,Formosa,Ley 23.737 (estupefacientes),165
2000,Formosa,Muertes en accidentes viales,46
2000,Formosa,Otros delitos contra la integridad sexual,79
2000,Formosa,Otros delitos contra la libertad,207
2000,Formosa,Otros delitos contra la propiedad,1113
2000,Formosa,Otros delitos contra las personas,154
2000,Formosa,Robos (excluye los agravados por el resultado de lesiones y/o muertes),1659
2000,Formosa,Robos agravados por el resultado de lesiones y/o muertes,1
2000,Formosa,Suicidios (consumados),26
2000,Formosa,Tentativas de hurto,174
2000,Formosa,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),143
2000,Formosa,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,Jujuy,Abusos sexuales con acceso carnal (violaciones),134
2000,Jujuy,Amenazas,2176
2000,Jujuy,Contravenciones,4361
2000,Jujuy,Delitos contra el estado civil,9
2000,Jujuy,Delitos contra el honor,18
2000,Jujuy,Delitos contra el orden público,26
2000,Jujuy,Delitos contra la administración pública,131
2000,Jujuy,Delitos contra la fe pública,330
2000,Jujuy,Delitos contra la seguridad de la nación,1
2000,Jujuy,Delitos contra la seguridad pública,34
2000,Jujuy,Delitos contra los poderes públicos y el orden constitucional,0
2000,Jujuy,Delitos previstos en otras leyes,1592
2000,Jujuy,Homicidios culposos por otros hechos,24
2000,Jujuy,Homicidios dolosos,18
2000,Jujuy,Homicidios dolosos en grado de tentativa,19
2000,Jujuy,Hurtos,5172
2000,Jujuy,Lesiones culposas en Accidentes Viales,519
2000,Jujuy,Lesiones culposas por otros hechos,664
2000,Jujuy,Lesiones dolosas,3234
2000,Jujuy,Ley 23.737 (estupefacientes),532
2000,Jujuy,Muertes en accidentes viales,66
2000,Jujuy,Otros delitos contra la integridad sexual,149
2000,Jujuy,Otros delitos contra la libertad,252
2000,Jujuy,Otros delitos contra la propiedad,1417
2000,Jujuy,Otros delitos contra las personas,405
2000,Jujuy,Robos (excluye los agravados por el resultado de lesiones y/o muertes),2980
2000,Jujuy,Robos agravados por el resultado de lesiones y/o muertes,83
2000,Jujuy,Suicidios (consumados),23
2000,Jujuy,Tentativas de hurto,306
2000,Jujuy,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),243
2000,Jujuy,Tentativas de robo agravado por el resultado de lesiones y/o muertes,68
2000,La Pampa,Abusos sexuales con acceso carnal (violaciones),24
2000,La Pampa,Amenazas,1055
2000,La Pampa,Contravenciones,1405
2000,La Pampa,Delitos contra el estado civil,0
2000,La Pampa,Delitos contra el honor,1
2000,La Pampa,Delitos contra el orden público,0
2000,La Pampa,Delitos contra la administración pública,181
2000,La Pampa,Delitos contra la fe pública,157
2000,La Pampa,Delitos contra la seguridad de la nación,0
2000,La Pampa,Delitos contra la seguridad pública,5
2000,La Pampa,Delitos contra los poderes públicos y el orden constitucional,0
2000,La Pampa,Delitos previstos en otras leyes,0
2000,La Pampa,Homicidios culposos por otros hechos,1
2000,La Pampa,Homicidios dolosos,21
2000,La Pampa,Homicidios dolosos en grado de tentativa,8
2000,La Pampa,Hurtos,5505
2000,La Pampa,Lesiones culposas en Accidentes Viales,309
2000,La Pampa,Lesiones culposas por otros hechos,40
2000,La Pampa,Lesiones dolosas,1106
2000,La Pampa,Ley 23.737 (estupefacientes),48
2000,La Pampa,Muertes en accidentes viales,36
2000,La Pampa,Otros delitos contra la integridad sexual,45
2000,La Pampa,Otros delitos contra la libertad,65
2000,La Pampa,Otros delitos contra la propiedad,1583
2000,La Pampa,Otros delitos contra las personas,43
2000,La Pampa,Robos (excluye los agravados por el resultado de lesiones y/o muertes),2370
2000,La Pampa,Robos agravados por el resultado de lesiones y/o muertes,1
2000,La Pampa,Suicidios (consumados),29
2000,La Pampa,Tentativas de hurto,182
2000,La Pampa,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),171
2000,La Pampa,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,La Rioja,Abusos sexuales con acceso carnal (violaciones),47
2000,La Rioja,Amenazas,382
2000,La Rioja,Contravenciones,3237
2000,La Rioja,Delitos contra el estado civil,0
2000,La Rioja,Delitos contra el honor,0
2000,La Rioja,Delitos contra el orden público,1
2000,La Rioja,Delitos contra la administración pública,17
2000,La Rioja,Delitos contra la fe pública,40
2000,La Rioja,Delitos contra la seguridad de la nación,0
2000,La Rioja,Delitos contra la seguridad pública,4
2000,La Rioja,Delitos contra los poderes públicos y el orden constitucional,0
2000,La Rioja,Delitos previstos en otras leyes,266
2000,La Rioja,Homicidios culposos por otros hechos,2
2000,La Rioja,Homicidios dolosos,10
2000,La Rioja,Homicidios dolosos en grado de tentativa,12
2000,La Rioja,Hurtos,1947
2000,La Rioja,Lesiones culposas en Accidentes Viales,749
2000,La Rioja,Lesiones culposas por otros hechos,3
2000,La Rioja,Lesiones dolosas,943
2000,La Rioja,Ley 23.737 (estupefacientes),2
2000,La Rioja,Muertes en accidentes viales,42
2000,La Rioja,Otros delitos contra la integridad sexual,37
2000,La Rioja,Otros delitos contra la libertad,84
2000,La Rioja,Otros delitos contra la propiedad,961
2000,La Rioja,Otros delitos contra las personas,13
2000,La Rioja,Robos (excluye los agravados por el resultado de lesiones y/o muertes),685
2000,La Rioja,Robos agravados por el resultado de lesiones y/o muertes,0
2000,La Rioja,Suicidios (consumados),24
2000,La Rioja,Tentativas de hurto,26
2000,La Rioja,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),27
2000,La Rioja,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1
2000,Mendoza,Abusos sexuales con acceso carnal (violaciones),145
2000,Mendoza,Amenazas,1778
2000,Mendoza,Contravenciones,925
2000,Mendoza,Delitos contra el estado civil,0
2000,Mendoza,Delitos contra el honor,0
2000,Mendoza,Delitos contra el orden público,58
2000,Mendoza,Delitos contra la administración pública,810
2000,Mendoza,Delitos contra la fe pública,656
2000,Mendoza,Delitos contra la seguridad de la nación,1
2000,Mendoza,Delitos contra la seguridad pública,1188
2000,Mendoza,Delitos contra los poderes públicos y el orden constitucional,11
2000,Mendoza,Delitos previstos en otras leyes,29
2000,Mendoza,Homicidios culposos por otros hechos,102
2000,Mendoza,Homicidios dolosos,113
2000,Mendoza,Homicidios dolosos en grado de tentativa,142
2000,Mendoza,Hurtos,23536
2000,Mendoza,Lesiones culposas en Accidentes Viales,4299
2000,Mendoza,Lesiones culposas por otros hechos,3195
2000,Mendoza,Lesiones dolosas,10693
2000,Mendoza,Ley 23.737 (estupefacientes),119
2000,Mendoza,Muertes en accidentes viales,203
2000,Mendoza,Otros delitos contra la integridad sexual,459
2000,Mendoza,Otros delitos contra la libertad,171
2000,Mendoza,Otros delitos contra la propiedad,8875
2000,Mendoza,Otros delitos contra las personas,1215
2000,Mendoza,Robos (excluye los agravados por el resultado de lesiones y/o muertes),30568
2000,Mendoza,Robos agravados por el resultado de lesiones y/o muertes,0
2000,Mendoza,Suicidios (consumados),1
2000,Mendoza,Tentativas de hurto,1267
2000,Mendoza,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),2042
2000,Mendoza,Tentativas de robo agravado por el resultado de lesiones y/o muertes,0
2000,Misiones,Abusos sexuales con acceso carnal (violaciones),111
2000,Misiones,Amenazas,586
2000,Misiones,Contravenciones,940
2000,Misiones,Delitos contra el estado civil,4
2000,Misiones,Delitos contra el honor,10
2000,Misiones,Delitos contra el orden público,8
2000,Misiones,Delitos contra la administración pública,178
2000,Misiones,Delitos contra la fe pública,174
2000,Misiones,Delitos contra la seguridad de la nación,10
2000,Misiones,Delitos contra la seguridad pública,110
2000,Misiones,Delitos contra los poderes públicos y el orden constitucional,6
2000,Misiones,Delitos previstos en otras leyes,454
2000,Misiones,Homicidios culposos por otros hechos,16
2000,Misiones,Homicidios dolosos,70
2000,Misiones,Homicidios dolosos en grado de tentativa,14
2000,Misiones,Hurtos,7221
2000,Misiones,Lesiones culposas en Accidentes Viales,460
2000,Misiones,Lesiones culposas por otros hechos,47
2000,Misiones,Lesiones dolosas,1030
2000,Misiones,Ley 23.737 (estupefacientes),157
2000,Misiones,Muertes en accidentes viales,144
2000,Misiones,Otros delitos contra la integridad sexual,119
2000,Misiones,Otros delitos contra la libertad,118
2000,Misiones,Otros delitos contra la propiedad,1674
2000,Misiones,Otros delitos contra las personas,297
2000,Misiones,Robos (excluye los agravados por el resultado de lesiones y/o muertes),3306
2000,Misiones,Robos agravados por el resultado de lesiones y/o muertes,19
2000,Misiones,Suicidios (consumados),81
2000,Misiones,Tentativas de hurto,258
2000,Misiones,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),391
2000,Misiones,Tentativas de robo agravado por el resultado de lesiones y/o muertes,15
2000,Neuquén,Abusos sexuales con acceso carnal (violaciones),48
2000,Neuquén,Amenazas,2817
2000,Neuquén,Contravenciones,3328
2000,Neuquén,Delitos contra el estado civil,10
2000,Neuquén,Delitos contra el honor,26
2000,Neuquén,Delitos contra el orden público,25
2000,Neuquén,Delitos contra la administración pública,147
2000,Neuquén,Delitos contra la fe pública,170
2000,Neuquén,Delitos contra la seguridad de la nación,1
2000,Neuquén,Delitos contra la seguridad pública,135
2000,Neuquén,Delitos contra los poderes públicos y el orden constitucional,5
2000,Neuquén,Delitos previstos en otras leyes,216
2000,Neuquén,Homicidios culposos por otros hechos,59
2000,Neuquén,Homicidios dolosos,39
2000,Neuquén,Homicidios dolosos en grado de tentativa,11
2000,Neuquén,Hurtos,7488
2000,Neuquén,Lesiones culposas en Accidentes Viales,82
2000,Neuquén,Lesiones culposas por otros hechos,309
2000,Neuquén,Lesiones dolosas,2125
2000,Neuquén,Ley 23.737 (estupefacientes),81
2000,Neuquén,Muertes en accidentes viales,33
2000,Neuquén,Otros delitos contra la integridad sexual,79
2000,Neuquén,Otros delitos contra la libertad,148
2000,Neuquén,Otros delitos contra la propiedad,2811
2000,Neuquén,Otros delitos contra las personas,700
2000,Neuquén,Robos (excluye los agravados por el resultado de lesiones y/o muertes),6857
2000,Neuquén,Robos agravados por el resultado de lesiones y/o muertes,262
2000,Neuquén,Suicidios (consumados),71
2000,Neuquén,Tentativas de hurto,497
